Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2022-08-14 00:57:07,Crypto Earn,BTC,0.00001073,,,EUR,0.252799029462368137540756611,0.261292234958982275820528366935888222643,crypto_earn_interest_paid,
2022-08-13 17:30:41,Supercharger Reward,ETH,0.00000114,,,EUR,0.002177190481606418755922827,0.002250336831119237008526334581236238651,supercharger_reward_to_app_credited,
2022-08-12 16:47:43,Supercharger Reward,ETH,0.00000114,,,EUR,0.002071673001165453082746085,0.002141274314738948274033102876788823605,supercharger_reward_to_app_credited,
2022-08-12 16:47:43,Supercharger Reward,ETH,0.00000114,,,EUR,0.002071673001165453082746085,0.002141274314738948274033102876788823605,supercharger_reward_to_app_credited,
2022-08-11 03:08:29,Supercharger Reward,ETH,0.00000114,,,EUR,0.002046991312436721944077634,0.002115763403466038880445229525928499042,supercharger_reward_to_app_credited,
2022-08-07 01:35:03,Crypto Earn,BTC,0.00001073,,,EUR,0.238090357272763685311210304,0.246089400367906894297311706199770322752,crypto_earn_interest_paid,
2022-08-06 21:38:10,Card Cashback,CRO,3.50809918,,,EUR,0.51,0.52713430155363,referral_card_cashback,
2022-08-06 06:09:48,Mission Rewards Deposit,CRO,3.1,,,EUR,0.44,0.45478253467372,rewards_platform_deposit_credited,
2022-07-31 18:37:45,Card Cashback,CRO,0.64028465,,,EUR,0.09,0.09302370027417,referral_card_cashback,
2022-07-31 18:36:48,Card Cashback,CRO,0.85248205,,,EUR,0.12,0.12403160036556,referral_card_cashback,
2022-07-31 00:22:44,Crypto Earn,BTC,0.00001073,,,EUR,0.245211273254858296,0.253449555412305960643329989048,crypto_earn_interest_paid,
2022-07-30 18:19:16,Supercharger Stake (via app),CRO,-117.54,,,EUR,15.98701330969292451335502904234781,16.52412371555601267968325921059109206263887853,supercharger_deposit,
2022-07-24 16:08:34,Crypto Earn Allocation,BTC,-0.01864956,,,EUR,410.897728505311928990120600744,424.702523775726839034440592207233310066472,crypto_earn_program_created,
2022-07-24 08:35:43,Crypto Earn Withdrawal,BTC,0.01851263,,,EUR,404.229670675122011148622032655,417.810441408988847083158590841184735478015,crypto_earn_program_withdrawn,
2022-07-24 01:18:42,Crypto Earn,BTC,0.00000913,,,EUR,0.198666318592863375806255351,0.205340845281725437562152307106885884263,crypto_earn_interest_paid,
2022-07-23 15:05:04,Card Cashback Reversal,CRO,-1.61152598,,,EUR,0.22,0.22739126733686,card_cashback_reverted,
2022-07-21 20:00:46,Card Cashback,CRO,1.61152598,,,EUR,0.22,0.22739126733686,referral_card_cashback,
2022-07-20 18:19:24,Card Cashback,CRO,0.14510125,,,EUR,0.02,0.02067193339426,referral_card_cashback,
2022-07-20 18:19:24,Card Rebate: Spotify,CRO,101.49832488,,,EUR,13.86,14.32564984222218,reimbursement,
2022-07-19 14:48:58,Card Cashback,CRO,0.81643615,,,EUR,0.11,0.11369563366843,referral_card_cashback,
2022-07-18 01:18:25,Crypto Earn,BTC,0.00001065,,,EUR,0.217227160835637809248379368,0.224525270010925461805392066407219681384,crypto_earn_interest_paid,
2022-07-16 14:02:08,Card Cashback,CRO,1.07589363,,,EUR,0.13,0.13436756706269,referral_card_cashback,
2022-07-16 08:53:52,Card Cashback,CRO,5.80304152,,,EUR,0.69,0.71318170210197,referral_card_cashback,
2022-07-14 09:16:00,Mission Rewards Deposit,CRO,1.1,,,EUR,0.12,0.12403160036556,rewards_platform_deposit_credited,
2022-07-11 09:33:19,Card Cashback,CRO,3.60593265,,,EUR,0.43,0.44444656797659,referral_card_cashback,
2022-07-11 04:29:54,Crypto Earn,BTC,0.00001065,,,EUR,0.212079875918219500412415628,0.219205053462217943566807423138395474764,crypto_earn_interest_paid,
2022-07-08 22:27:12,Card Cashback,CRO,0.39910184,,,EUR,0.05,0.05167983348565,referral_card_cashback,
2022-07-04 00:32:47,Crypto Earn,BTC,0.00001065,,,EUR,0.193901003506176823859355302,0.200415431477993101565933440046409368326,crypto_earn_interest_paid,
2022-06-27 00:51:55,Crypto Earn,BTC,0.00001065,,,EUR,0.208759194379231930832728674,0.215772808082342952079539120310922450562,crypto_earn_interest_paid,
2022-06-21 04:05:26,Mission Rewards Deposit,CRO,3.1,,,EUR,0.33,0.34108690100529,rewards_platform_deposit_credited,
2022-06-20 18:25:08,Supercharger Stake (via app),CRO,-125.39,,,EUR,13.09063104437051828237466446974382,13.53043265190297883310223414125299940226292366,supercharger_deposit,
2022-06-20 18:19:24,Card Cashback,CRO,0.26637896,,,EUR,0.03,0.03100790009139,referral_card_cashback,
2022-06-20 18:19:24,Card Rebate: Spotify,CRO,124.22138652,,,EUR,13.4,13.8501953741542,reimbursement,
2022-06-20 01:08:23,Crypto Earn,BTC,0.00001065,,,EUR,0.201162314545769063117834025,0.207920698386265881952977344737878384825,crypto_earn_interest_paid,
2022-06-16 00:04:19,Mission Rewards Deposit,CRO,0.9,,,EUR,0.1,0.1033596669713,rewards_platform_deposit_credited,
2022-06-13 01:25:11,Crypto Earn,BTC,0.00001065,,,EUR,0.259762814148354025642791284,0.268489979619015679224906075287943181492,crypto_earn_interest_paid,
2022-06-12 15:27:36,Supercharger Stake (via app),CRO,-118.75,,,EUR,16.27503438522125325930827457381166,16.82182134002924971348917941751592618048825358,supercharger_deposit,
2022-06-11 17:34:22,Card Cashback,CRO,1.60867135,,,EUR,0.24,0.24806320073112,referral_card_cashback,
